,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario
5,2300101,Abaiara,-7.34588,-39.0416,0,23,1301,88,America/Sao_Paulo
19,2300150,Acarape,-4.22083,-38.7055,0,23,1231,85,America/Sao_Paulo
20,2300200,Acaraú,-2.88769,-40.1183,0,23,1303,88,America/Sao_Paulo
24,2300309,Acopiara,-6.08911,-39.448,0,23,1305,88,America/Sao_Paulo
83,2300408,Aiuaba,-6.57122,-40.1178,0,23,1307,88,America/Sao_Paulo
96,2300507,Alcântaras,-3.58537,-40.5479,0,23,1309,88,America/Sao_Paulo
136,2300606,Altaneira,-6.99837,-39.7356,0,23,1311,88,America/Sao_Paulo
165,2300705,Alto Santo,-5.50894,-38.2743,0,23,1313,88,America/Sao_Paulo
203,2300754,Amontada,-3.36017,-39.8288,0,23,1587,88,America/Sao_Paulo
256,2300804,Antonina do Norte,-6.76919,-39.987,0,23,1315,88,America/Sao_Paulo
287,2300903,Apuiarés,-3.94506,-39.4359,0,23,1317,85,America/Sao_Paulo
290,2301000,Aquiraz,-3.89929,-38.3896,0,23,1319,85,America/Sao_Paulo
297,2301109,Aracati,-4.55826,-37.7679,0,23,1321,88,America/Sao_Paulo
303,2301208,Aracoiaba,-4.36872,-38.8125,0,23,1323,85,America/Sao_Paulo
344,2301257,Ararendá,-4.74567,-40.831,0,23,989,88,America/Sao_Paulo
347,2301307,Araripe,-7.21319,-40.1359,0,23,1325,88,America/Sao_Paulo
354,2301406,Aratuba,-4.41229,-39.0471,0,23,1327,85,America/Sao_Paulo
386,2301505,Arneiroz,-6.3165,-40.1653,0,23,1329,88,America/Sao_Paulo
408,2301604,Assaré,-6.8669,-39.8689,0,23,1331,88,America/Sao_Paulo
432,2301703,Aurora,-6.93349,-38.9742,0,23,1333,88,America/Sao_Paulo
460,2301802,Baixio,-6.71945,-38.7134,0,23,1335,88,America/Sao_Paulo
476,2301851,Banabuiú,-5.30454,-38.9132,0,23,1233,88,America/Sao_Paulo
498,2301901,Barbalha,-7.2982,-39.3021,0,23,1337,88,America/Sao_Paulo
540,2301950,Barreira,-4.28921,-38.6429,0,23,1235,85,America/Sao_Paulo
548,2302008,Barro,-7.17188,-38.7741,0,23,1339,88,America/Sao_Paulo
555,2302057,Barroquinha,-3.02051,-41.1358,0,23,1237,88,America/Sao_Paulo
565,2302107,Baturité,-4.32598,-38.8812,0,23,1341,85,America/Sao_Paulo
569,2302206,Beberibe,-4.17741,-38.1271,0,23,1343,85,America/Sao_Paulo
570,2302305,Bela Cruz,-3.04996,-40.1671,0,23,1345,88,America/Sao_Paulo
641,2302404,Boa Viagem,-5.11258,-39.7337,0,23,1347,88,America/Sao_Paulo
776,2302503,Brejo Santo,-7.48469,-38.9799,0,23,1349,88,America/Sao_Paulo
933,2302602,Camocim,-2.9005,-40.8544,0,23,1351,88,America/Sao_Paulo
996,2302701,Campos Sales,-7.06761,-40.3687,0,23,1353,88,America/Sao_Paulo
1032,2302800,Canindé,-4.35162,-39.3155,0,23,1355,85,America/Sao_Paulo
1070,2302909,Capistrano,-4.45569,-38.9048,0,23,1357,85,America/Sao_Paulo
1113,2303006,Caridade,-4.22514,-39.1912,0,23,1359,85,America/Sao_Paulo
1117,2303105,Cariré,-3.94858,-40.476,0,23,1361,88,America/Sao_Paulo
1119,2303204,Caririaçu,-7.02808,-39.2828,0,23,1363,88,America/Sao_Paulo
1120,2303303,Cariús,-6.52428,-39.4916,0,23,1365,88,America/Sao_Paulo
1141,2303402,Carnaubal,-4.15985,-40.9413,0,23,1367,88,America/Sao_Paulo
1161,2303501,Cascavel,-4.12967,-38.2412,0,23,1369,85,America/Sao_Paulo
1184,2303600,Catarina,-6.12291,-39.8736,0,23,1371,88,America/Sao_Paulo
1195,2303659,Catunda,-4.64336,-40.2,0,23,983,88,America/Sao_Paulo
1200,2303709,Caucaia,-3.72797,-38.6619,0,23,1373,85,America/Sao_Paulo
1210,2303808,Cedro,-6.60034,-39.0609,0,23,1375,88,America/Sao_Paulo
1258,2303907,Chaval,-3.03571,-41.2435,0,23,1377,88,America/Sao_Paulo
1264,2303931,Choró,-4.83906,-39.1344,0,23,993,88,America/Sao_Paulo
1265,2303956,Chorozinho,-4.28873,-38.4986,0,23,1239,85,America/Sao_Paulo
1386,2304004,Coreaú,-3.5415,-40.6587,0,23,1381,88,America/Sao_Paulo
1445,2304103,Crateús,-5.16768,-40.6536,0,23,1383,88,America/Sao_Paulo
1446,2304202,Crato,-7.2153,-39.4103,0,23,1385,88,America/Sao_Paulo
1469,2304236,Croatá,-4.40481,-40.9022,0,23,1241,88,America/Sao_Paulo
1472,2304251,Cruz,-2.91813,-40.176,0,23,1589,88,America/Sao_Paulo
1542,2304269,Deputado Irapuan Pinheiro,-5.91485,-39.257,0,23,1243,88,America/Sao_Paulo
1682,2304277,Ererê,-6.02751,-38.3461,0,23,1245,88,America/Sao_Paulo
1730,2304285,Eusébio,-3.8925,-38.4559,0,23,1247,85,America/Sao_Paulo
1740,2304301,Farias Brito,-6.92146,-39.5651,0,23,1387,88,America/Sao_Paulo
1829,2304350,Forquilha,-3.79945,-40.2634,0,23,1591,88,America/Sao_Paulo
1831,2304400,Fortaleza,-3.71664,-38.5423,1,23,1389,85,America/Sao_Paulo
1836,2304459,Fortim,-4.45126,-37.7981,0,23,987,88,America/Sao_Paulo
1856,2304509,Frecheirinha,-3.75557,-40.818,0,23,1391,88,America/Sao_Paulo
1903,2304608,General Sampaio,-4.04351,-39.454,0,23,1393,85,America/Sao_Paulo
1954,2304657,Graça,-4.04422,-40.749,0,23,1249,88,America/Sao_Paulo
1963,2304707,Granja,-3.12788,-40.8372,0,23,1395,88,America/Sao_Paulo
1964,2304806,Granjeiro,-6.88134,-39.2144,0,23,1397,88,America/Sao_Paulo
1970,2304905,Groaíras,-3.91787,-40.3852,0,23,1399,88,America/Sao_Paulo
