,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario
25,5100102,Acorizal,-15.194,-56.3632,0,51,9001,65,America/Porto_Velho
47,5100201,Água Boa,-14.051,-52.1601,0,51,9191,66,America/Porto_Velho
130,5100250,Alta Floresta,-9.86674,-56.0867,0,51,8987,66,America/Porto_Velho
146,5100300,Alto Araguaia,-17.3153,-53.2181,0,51,9005,66,America/Porto_Velho
148,5100359,Alto Boa Vista,-11.6732,-51.3883,0,51,127,66,America/Porto_Velho
152,5100409,Alto Garças,-16.9462,-53.5272,0,51,9007,66,America/Porto_Velho
156,5100508,Alto Paraguai,-14.5137,-56.4776,0,51,9009,65,America/Porto_Velho
166,5100607,Alto Taquari,-17.8241,-53.2792,0,51,9911,66,America/Porto_Velho
277,5100805,Apiacás,-9.53981,-57.4587,0,51,9773,66,America/Porto_Velho
313,5101001,Araguaiana,-15.7291,-51.8341,0,51,9869,66,America/Porto_Velho
315,5101209,Araguainha,-16.857,-53.0318,0,51,9023,66,America/Porto_Velho
338,5101258,Araputanga,-15.4641,-58.3425,0,51,8989,65,America/Porto_Velho
374,5101308,Arenápolis,-14.4472,-56.8437,0,51,9025,65,America/Porto_Velho
380,5101407,Aripuanã,-10.1723,-59.4568,0,51,9027,66,America/Porto_Velho
492,5101605,Barão de Melgaço,-16.2067,-55.9623,0,51,9031,65,America/Porto_Velho
517,5101704,Barra do Bugres,-15.0702,-57.1878,0,51,9033,65,America/Porto_Velho
521,5101803,Barra do Garças,-15.8804,-52.264,0,51,9035,66,America/Porto_Velho
685,5101852,Bom Jesus do Araguaia,-12.1706,-51.5032,0,51,1078,66,America/Porto_Velho
757,5101902,Brasnorte,-12.1474,-57.9833,0,51,9873,66,America/Porto_Velho
838,5102504,Cáceres,-16.0764,-57.6818,0,51,9047,65,America/Porto_Velho
950,5102603,Campinápolis,-14.5162,-52.893,0,51,9863,66,America/Porto_Velho
983,5102637,Campo Novo do Parecis,-13.6587,-57.8907,0,51,9777,65,America/Porto_Velho
985,5102678,Campo Verde,-15.545,-55.1626,0,51,9779,66,America/Porto_Velho
989,5102686,Campos de Júlio,-13.7242,-59.2858,0,51,1032,65,America/Porto_Velho
1002,5102694,Canabrava do Norte,-11.0556,-51.8209,0,51,129,66,America/Porto_Velho
1008,5102702,Canarana,-13.5515,-52.2705,0,51,9193,66,America/Porto_Velho
1121,5102793,Carlinda,-9.94912,-55.8417,0,51,1034,66,America/Porto_Velho
1171,5102850,Castanheira,-11.1251,-58.6081,0,51,9783,66,America/Porto_Velho
1248,5103007,Chapada dos Guimarães,-15.4643,-55.7499,0,51,9059,65,America/Porto_Velho
1281,5103056,Cláudia,-11.5075,-54.8835,0,51,9789,66,America/Porto_Velho
1291,5103106,Cocalinho,-14.3903,-51.0001,0,51,9865,66,America/Porto_Velho
1302,5103205,Colíder,-10.8135,-55.461,0,51,8979,66,America/Porto_Velho
1309,5103254,Colniza,-9.46121,-59.2252,0,51,1080,66,America/Porto_Velho
1323,5103304,Comodoro,-13.6614,-59.7848,0,51,9883,65,America/Porto_Velho
1357,5103353,Confresa,-10.6437,-51.5699,0,51,131,66,America/Porto_Velho
1364,5103361,Conquista D'Oeste,-14.5381,-59.5444,0,51,1082,65,America/Porto_Velho
1438,5103379,Cotriguaçu,-9.85656,-58.4192,0,51,89,66,America/Porto_Velho
1491,5103403,Cuiabá,-15.601,-56.0974,1,51,9067,65,America/Porto_Velho
1522,5103437,Curvelândia,-15.6084,-57.9133,0,51,1084,65,America/Porto_Velho
1540,5103452,Denise,-14.7324,-57.0583,0,51,9833,65,America/Porto_Velho
1557,5103502,Diamantino,-14.4037,-56.4366,0,51,9069,65,America/Porto_Velho
1590,5103601,Dom Aquino,-15.8099,-54.9223,0,51,9071,66,America/Porto_Velho
1769,5103700,Feliz Natal,-12.385,-54.9227,0,51,1036,66,America/Porto_Velho
1787,5103809,Figueirópolis D'Oeste,-15.4439,-58.7391,0,51,9881,65,America/Porto_Velho
1893,5103858,Gaúcha do Norte,-13.2443,-53.0809,0,51,1038,66,America/Porto_Velho
1899,5103908,General Carneiro,-15.7094,-52.7574,0,51,9077,66,America/Porto_Velho
1914,5103957,Glória D'Oeste,-15.768,-58.3108,0,51,135,65,America/Porto_Velho
2019,5104104,Guarantã do Norte,-9.96218,-54.9121,0,51,9887,66,America/Porto_Velho
2044,5104203,Guiratinga,-16.346,-53.7575,0,51,9083,66,America/Porto_Velho
2201,5104500,Indiavaí,-15.4921,-58.5802,0,51,9877,65,America/Porto_Velho
2236,5104526,Ipiranga do Norte,-12.2408,-56.1531,0,51,1184,65,America/Porto_Velho
2350,5104542,Itanhangá,-12.2259,-56.6463,0,51,1186,66,America/Porto_Velho
2422,5104559,Itaúba,-11.0614,-55.2766,0,51,9901,66,America/Porto_Velho
2431,5104609,Itiquira,-17.2147,-54.1422,0,51,9091,65,America/Porto_Velho
2477,5104807,Jaciara,-15.9548,-54.9733,0,51,9095,66,America/Porto_Velho
2516,5104906,Jangada,-15.235,-56.4917,0,51,9861,65,America/Porto_Velho
2561,5105002,Jauru,-15.3342,-58.8723,0,51,8991,65,America/Porto_Velho
2618,5105101,Juara,-11.2639,-57.5244,0,51,9819,66,America/Porto_Velho
2630,5105150,Juína,-11.3728,-58.7483,0,51,9831,66,America/Porto_Velho
2656,5105176,Juruena,-10.3178,-58.3592,0,51,9921,66,America/Porto_Velho
2658,5105200,Juscimeira,-16.0633,-54.8859,0,51,9189,66,America/Porto_Velho
2735,5105234,Lambari D'Oeste,-15.3188,-58.0046,0,51,137,65,America/Porto_Velho
2800,5105259,Lucas do Rio Verde,-13.0588,-55.9042,0,51,9925,65,America/Porto_Velho
2804,5105309,Luciara,-11.2219,-50.6676,0,51,9105,66,America/Porto_Velho
2936,5105580,Marcelândia,-11.0463,-54.4377,0,51,9899,66,America/Porto_Velho
3023,5105606,Matupá,-10.1821,-54.9467,0,51,9929,66,America/Porto_Velho
3096,5105622,Mirassol d'Oeste,-15.6759,-58.0951,0,51,9177,65,America/Porto_Velho
3273,5105903,Nobres,-14.7192,-56.3284,0,51,9117,65,America/Porto_Velho
3277,5106000,Nortelândia,-14.454,-56.7945,0,51,9119,65,America/Porto_Velho
3284,5106109,Nossa Senhora do Livramento,-15.772,-56.3432,0,51,9121,65,America/Porto_Velho
3297,5106158,Nova Bandeirantes,-9.84977,-57.8139,0,51,117,66,America/Porto_Velho
3301,5106208,Nova Brasilândia,-14.9612,-54.9685,0,51,8981,66,America/Porto_Velho
3306,5106216,Nova Canaã do Norte,-10.558,-55.953,0,51,9889,66,America/Porto_Velho
3327,5108808,Nova Guarita,-10.312,-55.4061,0,51,121,66,America/Porto_Velho
3338,5106182,Nova Lacerda,-14.4727,-59.6001,0,51,1040,65,America/Porto_Velho
3344,5108857,Nova Marilândia,-14.3568,-56.9696,0,51,103,65,America/Porto_Velho
3345,5108907,Nova Maringá,-13.0136,-57.0908,0,51,111,66,America/Porto_Velho
